idcategory,parent,category_leads,top_reviewers,advisors
1,2,,,
2,,"[33, 516]","[792, 859, 3825, 4715, 4967, 5916]","[253, 709, 710, 800, 801, 859, 875, 923, 2490, 2528, 2573, 4715, 4967, 5456]"
3,4,,,
4,,"[13, 172]","[28, 37, 41, 98, 101, 246, 318, 673, 708, 735, 1465, 2533, 2604, 2742, 2961, 4687, 4690, 4702, 4719]","[41, 98, 101, 183, 232, 239, 247, 276, 318, 648, 673, 676, 708, 735, 877, 1465, 1522, 2961, 3134, 4687]"
5,6,,,
6,,,,
7,8,"[732, 780]","[4, 24, 111, 118, 126, 132, 137, 155, 172, 231, 246, 253, 276, 305, 454, 457, 459, 467, 611, 642, 651, 656, 695, 712, 734, 735, 743, 748, 755, 777, 787, 807, 830, 1075, 1366, 1442, 1454, 1472, 2522, 2535, 2570, 2604, 2761, 2961, 4781, 4881, 4900, 4932, 4940, 5029, 5926, 236092]","[24, 41, 118, 126, 135, 172, 239, 246, 276, 305, 457, 459, 656, 712, 734, 743, 748, 755, 777, 787, 1454, 1472, 2490, 2535, 2961, 4932]"
8,,,,
9,4,,,
10,11,[456],"[53, 111, 132, 457, 622, 707, 719, 1461, 5914]","[39, 62, 118, 132, 158, 168, 622, 777, 1461]"
11,,,,
12,4,,,
13,14,,,
14,,[645],"[192, 622]","[192, 622, 3596]"
15,8,,,
16,17,,,
17,,[24],"[111, 132, 172, 227, 232, 641, 712, 735, 1265, 1452, 1496, 3436, 5000, 5024]","[10, 641, 748, 777, 853, 859]"
18,8,"[737, 770]","[611, 656, 736, 741, 743, 748, 758, 764, 766, 807, 1075, 1105, 1108, 1331, 1366, 1398, 1421, 2449, 2604, 5386, 5936, 5947, 237225, 247375]","[41, 101, 104, 118, 135, 158, 159, 168, 199, 573, 656, 736, 748, 766, 777, 800, 807, 853, 859, 1381, 2449, 4715, 5947, 236723]"
19,20,,,
20,,"[194, 709, 788]","[114, 135, 594, 1457, 2049, 2620, 3114, 3789, 3796, 4784, 4892, 239720]","[28, 104, 123, 168, 594, 627, 1444, 1445, 1457, 1649, 3114, 3791]"
21,8,,,
22,,,,
23,24,,,
24,,"[80, 272, 2727]","[46, 85, 132, 137, 211, 454, 602, 670, 755, 828, 3436, 4617, 5949]","[46, 85, 132, 211, 241, 602, 702, 755, 3436]"
25,2,,,
26,27,,,
27,,[4782],"[28, 53, 76, 94, 97, 139, 195, 199, 305, 715, 782, 1491, 2543, 2566, 2618, 4515, 5944]","[28, 76, 97, 139, 168, 195, 199, 276, 626, 685, 715, 782, 1491, 2566, 2618, 4515]"
28,29,[765],"[641, 643, 657, 667, 675, 732, 867, 1450, 1615, 3436, 5916]","[41, 657, 732, 2490, 2573, 2784, 5000]"
29,,"[434, 622, 718]","[22, 46, 126, 132, 159, 164, 172, 246, 305, 316, 667, 675, 695, 713, 732, 828, 2620, 2784, 3436]","[10, 22, 41, 46, 135, 159, 172, 316, 612, 629, 659, 667, 695, 708, 713, 730, 755, 1490, 1522, 2784, 3151, 4700, 5917]"
30,4,,,
31,27,,,
32,,,,
33,24,,,
34,17,,,
35,8,"[732, 780]","[111, 126, 622, 735]","[19, 192, 629, 740, 748, 777, 5008]"
36,29,,,
37,29,,,
38,4,,,
39,40,,,
40,,"[267, 444]","[53, 132, 650, 667, 670, 673, 676, 695, 712, 713, 719, 867, 1496, 3143, 3432, 4700, 5000]","[46, 53, 158, 650, 667, 673, 676, 712, 713, 3143]"
41,17,,,
42,20,,,
43,27,,,
44,45,,,
45,,[3148],"[111, 2790]","[743, 859, 2790, 3596]"
46,8,,,
47,11,,,
48,49,,,
49,,"[246, 235164]","[64, 305, 1467, 4756]","[64, 645, 735, 848, 1444, 1451, 1467, 235165]"
50,51,,,
51,,"[80, 272, 2727]",,"[722, 781, 3789]"
52,49,,,
53,29,,,
54,24,,,
55,40,,,
56,20,,,
57,40,,,
58,6,,,
59,40,,,
60,29,,,
61,6,,,
62,29,,,
63,29,,,
64,65,,,
65,,,,
66,65,,,
67,29,,,
68,65,,,
69,27,,,
70,6,,,
71,45,,,
72,20,,,
73,4,,,
74,45,,,
75,45,,,
76,4,,,
77,4,,,
78,65,,,
79,45,,,
80,45,,,
81,20,,,
82,8,,,
83,8,,,
84,6,,,
85,20,,,
86,6,,,
87,8,[625],"[94, 593, 675, 715, 722, 736, 1457, 3209, 4582, 217695]","[94, 104, 123, 168, 305, 593, 1457]"
88,29,,,
89,14,,,
90,20,,,
91,6,[645],"[114, 721, 1463, 2620]","[709, 721, 1463, 2740]"
92,20,,,
93,40,,,
94,6,,,
95,20,,,
96,2,,,
97,27,,,
98,20,,,
99,6,,,
100,20,,,
101,27,,,
102,2,,,
103,6,,,
104,6,,,
105,4,,,
106,65,,,
107,20,,,
108,2,,,
109,20,,,
110,20,,,
111,29,,,
112,29,,,
113,17,,,
114,20,,,
115,29,,,
116,29,,,
117,29,,,
118,29,,,
119,29,,,
120,14,,,
121,29,,,
122,40,,,
123,29,,,
124,29,,,
125,29,,,
126,20,,,
127,29,,,
128,29,,,
129,29,,,
130,20,,,
131,29,,,
132,20,,,
133,2,,,
134,24,,,
135,,,,
136,20,,,
137,20,,,
138,22,,,
139,49,,,
140,29,,,
141,20,,,
142,29,,,
143,29,,,
144,20,,,
145,29,,,
146,4,,,
147,29,,,
148,29,,,
149,20,,,
150,14,,,
151,20,,,
152,49,,,
153,20,,,
154,6,,,
155,20,,,
156,4,,,
157,6,,,
158,29,,,
159,39,,,
160,29,,,
161,29,,,
162,29,,,
163,27,,,
164,29,,,
165,40,,,
166,29,,,
167,29,,,
168,29,,,
169,29,,,
170,65,,,
171,29,,,
172,22,,,
173,29,,,
174,29,,,
175,29,,,
176,6,,,
177,6,,,
178,40,,,
179,49,,,
180,29,,,
181,2,,,
182,29,,,
183,20,,,
184,20,,,
185,14,,,
186,20,,,
187,6,,,
188,6,,,
189,20,,,
190,6,,,
191,6,,,
192,6,,,
193,6,,,
194,20,,,
195,6,,,
196,20,,,
197,20,,,
198,6,,,
199,20,,,
200,6,,,
201,6,,,
202,20,,,
203,20,,,
204,20,,,
205,6,,,
206,6,,,
207,20,,,
208,20,,,
209,20,,,
210,20,,,
211,20,,,
212,49,,,
213,49,,,
214,6,,,
215,6,,,
216,49,,,
217,27,,,
218,20,,,
219,20,,,
220,49,,,
221,8,"[651, 787]","[137, 232, 253, 305, 454, 455, 467, 573, 611, 640, 656, 708, 734, 736, 743, 777, 798, 802, 807, 860, 875, 923, 1075, 1366, 1472, 2376, 2513, 3812, 4857, 4898]","[24, 41, 118, 168, 232, 305, 455, 573, 640, 656, 693, 734, 737, 777, 802, 807, 859, 875, 923, 3143, 5476, 5897]"
222,45,,,
223,6,,,
224,29,,,
225,29,,,
226,6,,,
227,29,,,
228,20,,,
229,6,,,
230,29,,,
231,2,,,
232,20,,,
233,45,,,
234,29,,,
235,27,,,
236,6,,,
237,6,,,
238,6,,,
239,,,,
240,6,,,
241,6,,,
242,29,,,
243,49,,,
244,65,,,
245,88,,,
246,6,,,
247,6,,,
248,27,,,
249,20,,,
250,2,,,
251,6,,,
252,4,,,
253,14,,,
254,88,,,
255,2,,,
256,17,,,
257,6,,,
258,2,,,
259,14,,,
260,45,,,
261,29,,,
262,24,,,
263,2,,,
264,2,,,
265,2,,,
266,2,,,
267,2,,,
268,2,,,
269,2,,,
270,24,,,
271,51,,,
272,2,,,
273,40,,,
274,6,,,
275,24,,,
276,65,,,
277,8,,,
278,279,,,
279,39,,,
280,29,,,
281,29,,,
282,40,,,
283,20,,,
284,29,,,
285,20,,,
286,57,,,
287,57,,,
288,14,,,
289,24,,,
290,57,,,
291,24,,,
292,29,,,
293,40,,,
294,29,,,
295,49,,,
296,20,,,
297,65,,,
298,97,,,
299,147,,,
300,29,,,
301,6,,,
302,29,,,
303,59,,,
304,6,,,
305,6,,,
306,6,,,
307,147,,,
308,6,,,
309,6,,,
310,39,,,
311,27,,,
312,40,,,
313,14,,,
314,57,,,
315,93,,,
316,59,,,
317,59,,,
318,27,,,
319,97,,,
320,321,,,
321,28,,,
322,45,,,
323,325,,,
324,29,,,
325,97,,,
326,97,,,
327,49,,,
328,27,,,
329,14,,,
330,29,,,
331,20,,,
332,29,,,
333,54,,,
334,335,,,
335,54,,,
336,338,,,
337,29,,,
338,54,,,
339,54,,,
340,40,,,
341,54,,,
342,54,,,
343,14,,,
344,20,,,
345,45,,,
346,,,,
347,6,,,
348,97,,,
349,27,,,
350,29,,,
351,352,,,
352,97,,,
353,51,,,
354,14,,,
355,14,,,
356,20,,,
357,20,,,
358,55,,,
359,29,,,
360,6,[645],"[114, 628, 645, 659, 1463, 2490, 2620, 3764, 3792, 4289]","[709, 721, 1444, 1463, 1490, 2740]"
361,6,,,
362,49,,,
363,20,,,
364,39,,,
365,6,,,
366,147,,,
367,6,,,
368,6,,,
369,14,,,
370,6,,,
371,6,,,
372,6,,,
373,20,,,
374,6,,,
375,20,,,
376,14,,,
377,29,,,
378,380,,,
379,14,,,
380,321,,,
381,14,,,
382,6,,,
383,45,,,
384,6,,,
385,6,,,
386,39,,,
387,20,,,
388,29,,,
389,97,,,
390,97,,,
391,14,,,
392,17,,,
393,54,,,
394,54,,,
395,6,,,
396,20,,,
397,57,,,
398,14,,,
399,6,,,
400,6,,,
401,51,,,
402,20,,,
403,,,,
404,17,,,
405,27,,,
406,49,,,
407,20,,,
408,65,,,
409,20,,,
410,29,,,
411,20,,,
412,55,,,
413,14,,,
414,352,,,
415,321,,,
416,24,,,
417,97,,,
418,325,,,
419,20,,,
420,421,,,
421,,,,
422,,,,
423,54,,,
424,20,,,
425,27,,,
426,20,,,
427,14,,,
428,105,,,
429,6,,,
430,49,,,
431,432,,,
432,57,,,
433,6,,,
434,29,,,
435,20,,,
436,20,,,
437,20,,,
438,6,,,
439,6,,,
440,335,,,
441,49,,,
442,20,,,
443,14,,,
444,20,,,
445,29,,,
446,147,,,
447,,,,
448,20,,,
449,450,,,
450,54,,,
451,28,,,
452,14,,,
453,,,,
454,455,,,
455,147,,,
456,20,,,
457,458,,,
458,57,,,
459,45,,,
460,6,,,
461,29,,,
462,4,,,
463,14,,,
464,14,,,
465,39,,,
466,6,,,
467,6,,,
468,14,,,
469,6,,,
470,6,,,
471,14,,,
472,87,,,
473,97,,,
474,475,,,
475,54,,,
476,54,,,
477,475,,,
478,97,,,
479,39,,,
480,39,,,
481,450,,,
482,450,,,
483,54,,,
484,475,,,
485,321,,,
486,,,,
487,147,,,
488,28,,,
489,490,,,
490,147,,,
491,147,,,
492,54,,,
493,494,,,
494,28,,,
495,29,,,
496,20,,,
497,6,,,
498,450,,,
499,338,,,
500,338,,,
501,325,,,
502,54,,,
503,97,,,
504,59,,,
505,87,,,
506,338,,,
507,29,,,
508,20,,,
509,14,,,
510,14,,,
511,512,,,
512,53,,,
513,14,,,
514,14,,,
515,6,,,
516,97,,,
517,45,,,
518,2,,,
519,20,,,
520,147,,,
521,20,,,
522,49,,,
523,6,,,
524,,,,
525,20,,,
526,14,,,
527,490,,,
528,494,,,
529,335,,,
530,20,,,
531,97,,,
532,49,,,
533,14,,,
534,6,,,
535,6,,,
536,49,,,
537,6,,,
538,432,,,
539,97,,,
540,29,,,
541,20,,,
542,45,,,
543,27,,,
544,39,,,
545,45,,,
546,6,,,
547,6,,,
548,14,,,
549,6,,,
550,6,,,
551,105,,,
552,352,,,
553,97,,,
554,27,,,
555,20,,,
556,,,,
557,49,,,
558,97,,,
559,14,,,
560,14,,,
561,20,,,
562,494,,,
563,20,,,
564,14,,,
565,87,,,
566,14,,,
567,321,,,
568,8,,,
569,432,,,
570,321,,,
571,494,,,
572,573,,,
573,57,,,
574,575,,,
575,147,,,
576,421,,,
577,6,,,
578,579,,,
579,28,,,
580,321,,,
581,582,,,
582,97,,,
583,195,,,
584,97,,,
585,432,,,
586,494,,,
587,117,,,
